종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","103446400050","2025","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","217490103000","4860","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","166069151350","12730","13045495","13247561","202066","2024-09"
"054620","APS","109016664000","6000","18169444","19894221","1724777","2024-09"
"265520","AP시스템","264053955720","17580","15020134","15281421","261287","2024-09"
"211270","AP위성","147313216350","10350","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","63906034640","560","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","344073013770","3595","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1972806713000","114200","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","213638490000","3450","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3069217123160","9640","318383519","320436727","2053208","2024-09"
"001460","BYC","201963314500","32350","6243070","6246150","3080","2024-09"
"013720","CBI","48761356656","1094","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","184546036800","2400","76894182","76894182","0","2024-09"
"001040","CJ","2903372221500","107300","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","923936416740","5580","165580003","165580003","0","2024-09"
"035760","CJ ENM","1281090454200","61800","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","106434023360","11680","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1737220735900","87100","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","111744704030","3110","35930773","35930773","0","2024-09"
"097950","CJ제일제당","4056338604000","276000","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","218081034820","18370","11871586","11871586","0","2024-09"
"058820","CMG제약","298618324600","2150","138892244","138892244","0","2024-09"
"023460","CNH","8701027896","264","32958439","37200000","4241561","2024-09"
"056730","CNT85","56676132172","814","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","233512084320","5660","41256552","46890490","5633938","2024-09"
"065770","CS","19469363390","1003","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","49526724984","836","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","72676737200","69800","1041214","1154482","113268","2024-09"
"012030","DB","309851524526","1622","191030533","201173933","10143400","2024-09"
"456440","DB금융스팩11호","12118200000","2280","5315000","5315000","0","2024-09"
"477760","DB금융스팩12호","12088800000","2070","5840000","5840000","0","2024-09"
"016610","DB금융투자","225646355060","5540","40730389","42446389","1716000","2024-09"
"005830","DB손해보험","6820938078400","113600","60043469","70800000","10756531","2024-09"
"000990","DB하이텍","1530582619200","36800","41591919","44398588","2806669","2024-09"
"139130","DGB금융지주","1357765509120","8160","166392832","169145833","2753001","2024-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2024-09"
"060900","DGP","30708363008","1216","25253588","25258229","4641","2024-09"
"290120","DH오토리드","42433902430","2735","15515138","15515138","0","2024-09"
"025440","DH오토웨어","32320284150","210","153906115","153906120","5","2024-09"
"001530","DI동일","725437171550","37450","19370819","25215672","5844853","2024-09"
"000210","DL","868625170500","41500","20930727","20955884","25157","2024-09"
"375500","DL이앤씨","1207674395200","31400","38460968","38693623","232655","2024-09"
"068790","DMS","128940542080","5480","23529296","24573061","1043765","2024-09"
"007340","DN오토모티브","875083095450","17410","50263245","59065865","8802620","2024-09"
"004840","DRB동일","87400170740","4535","19272364","19930000","657636","2024-09"
"241520","DSC인베스트먼트","74131848000","2835","26148800","27496125","1347325","2024-09"
"155660","DSR","62400000000","3900","16000000","16000000","0","2024-09"
"069730","DSR제강","52200000000","3625","14400000","14400000","0","2024-09"
"017860","DS단석","392714068000","67000","5861404","5861404","0","2024-09"
"180400","DXVX","115910029080","2355","49218696","49219432","736","2024-09"
"017940","E1","435944025400","75400","5781751","6860000","1078249","2024-09"
"245620","EDGC","57441040175","415","138412145","138493951","81806","2024-09"
"037370","EG","60978552040","7070","8624972","8624972","0","2024-09"
"050120","ES큐브","23345928501","1743","13394107","13564086","169979","2024-09"
"383220","F&F","2337300287400","61800","37820393","38307075","486682","2024-09"
"007700","F&F홀딩스","523536566200","13400","39069893","39114367","44474","2024-09"
"214270","FSN","66827503140","2010","33247514","33250463","2949","2024-09"
"130500","GH신소재","44216900320","3040","14545033","14545052","19","2024-09"
"114090","GKL","666185565900","10770","61855670","61855670","0","2024-09"
"078930","GS","3943413762750","42450","92895495","92915378","19883","2024-09"
"083450","GST","281433583900","15130","18601030","18618260","17230","2024-09"
"006360","GS건설","1574689002250","18550","84888895","85581490","692595","2024-09"
"001250","GS글로벌","276771402710","3355","82495202","82533764","38562","2024-09"
"007070","GS리테일","2141171899200","20700","103438256","104717922","1279666","2024-09"
"297890","HB솔루션","291100837720","3980","73140914","73140914","0","2024-09"
"440290","HB인베스트먼트","51503319000","1900","27107010","27107010","0","2024-09"
"078150","HB테크놀러지","211029717750","2375","88854618","92715916","3861298","2024-09"
"012630","HDC","543836817820","10870","50030986","59741721","9710735","2024-09"
"039570","HDC랩스","183105593410","7970","22974353","25957601","2983248","2024-09"
"089470","HDC현대EP","103161054740","3980","25919863","31900000","5980137","2024-09"
"294870","HDC현대산업개발","1363598262500","21250","64169330","65907330","1738000","2024-09"
"009540","HD한국조선해양","13782281387000","194900","70714630","70773116","58486","2024-09"
"267250","HD현대","5702942301000","80700","70668430","78993085","8324655","2024-09"
"267270","HD현대건설기계","955502784900","54100","17661789","18305586","643797","2024-09"
"443060","HD현대마린솔루션","5516245000000","124100","44450000","44450000","0","2024-09"
"071970","HD현대마린엔진","732703816800","21600","33921473","33921495","22","2024-09"
"010620","HD현대미포","4291550464800","107600","39884298","39942149","57851","2024-09"
"322000","HD현대에너지솔루션","245280000000","21900","11200000","11200000","0","2024-09"
"042670","HD현대인프라코어","1450210470960","7530","192591032","192655867","64835","2024-09"
"267260","HD현대일렉트릭","11859595968000","329500","35992704","36047135","54431","2024-09"
"329180","HD현대중공업","17213107192400","193900","88773116","88773116","0","2024-09"
"097230","HJ중공업","200676699400","2410","83268340","83274281","5941","2024-09"
"195940","HK이노엔","1340003844300","47300","28329891","28329891","0","2024-09"
"014790","HL D&I","93321451465","2465","37858601","37858601","0","2024-09"
"028300","HLB","9069375268800","69300","130871216","131127236","256020","2024-09"
"003580","HLB글로벌","201093600785","4235","47483731","47489591","5860","2024-09"
"278650","HLB바이오스텝","191123834940","2270","84195522","86730589","2535067","2024-09"
"067630","HLB생명과학","1075786813570","9070","118609351","118679271","69920","2024-09"
"024850","HLB이노베이션","315618584240","3460","91219244","91226268","7024","2024-09"
"047920","HLB제약","661427790400","20800","31799413","31799994","581","2024-09"
"115450","HLB테라퓨틱스","726207636700","9100","79803037","80139933","336896","2024-09"
"046210","HLB파나진","127754833185","3015","42373079","42373079","0","2024-09"
"204320","HL만도","1751500576000","37300","46957120","46957120","0","2024-09"
"060980","HL홀딩스","341464639950","35950","9498321","10169410","671089","2024-09"
"011200","HMM","12853517751360","17160","749039496","749039496","0","2024-09"
"403870","HPSP","2338400152400","29200","80082197","82934144","2851947","2024-09"
"036640","HRS","83744448600","5240","15981765","16354800","373035","2024-09"
"035000","HS애드","103566845160","6390","16207644","16567409","359765","2024-09"
"002460","HS화성","84520029970","8930","9464729","10150000","685271","2024-09"
"487570","HS효성","148990325400","40200","3706227","3725927","19700","2024-09"
"298050","HS효성첨단소재","1148281654000","257000","4468022","4479948","11926","2024-09"
"439730","IBKS제20호스팩","9546650000","2215","4310000","4310000","0","2024-09"
"442770","IBKS제21호스팩","9283050000","2205","4210000","4210000","0","2024-09"
"448760","IBKS제22호스팩","9723850000","2195","4430000","4430000","0","2024-09"
"467930","IBKS제23호스팩","9179100000","2170","4230000","4230000","0","2024-09"
"469480","IBKS제24호스팩","9284850000","2195","4230000","4230000","0","2024-09"
"003560","IHQ","63618682920","10760","5912517","5994566","82049","2024-09"
"095340","ISC","1184876716800","57900","20464192","21197058","732866","2024-09"
"175330","JB금융지주","3307973125500","17250","191766558","195083198","3316640","2024-09"
"234080","JW생명과학","171104321700","11050","15484554","15834554","350000","2024-09"
"067290","JW신약","81260066279","1603","50692493","50841502","149009","2024-09"
"001060","JW중외제약","662029027200","28800","22987119","23285930","298811","2024-09"
"096760","JW홀딩스","223419802400","3100","72070904","73924942","1854038","2024-09"
"035900","JYP Ent.","1703039232600","51400","33133059","35532492","2399433","2024-09"
"318000","KBG","49238383260","5660","8699361","8740223","40862","2024-09"
"024840","KBI메탈","96849865180","2780","34838081","34909199","71118","2024-09"
"105560","KB금융","35495996429000","94100","377215690","393528423","16312733","2024-09"
"024120","KB오토시스","40652500000","3535","11500000","11500000","0","2024-09"
"455250","KB제25호스팩","11365200000","2640","4305000","4305000","0","2024-09"
"458320","KB제26호스팩","12331200000","2240","5505000","5505000","0","2024-09"
"464680","KB제27호스팩","25719665000","1993","12905000","12905000","0","2024-09"
"476470","KB제28호스팩","11505450000","2090","5505000","5505000","0","2024-09"
"478390","KB제29호스팩","12751000000","2050","6220000","6220000","0","2024-09"
"486630","KB제30호스팩","10726200000","2020","5310000","5310000","0","2024-09"
"002380","KCC","1915761545500","260500","7354171","8886471","1532300","2024-09"
"021320","KCC건설","84768103000","4250","19945436","21400000","1454564","2024-09"
"344820","KCC글라스","629761653500","39500","15943333","15970512","27179","2024-09"
"036670","KCI","81885122000","7610","10760200","11270000","509800","2024-09"
"009070","KCTC","135921633750","4545","29905750","30000000","94250","2024-09"
"009440","KC그린홀딩스","18761983040","848","22124980","22434980","310000","2024-09"
"119650","KC코트렐","27804804457","433","64214329","64214329","0","2024-09"
"044180","KD","12367281433","463","26711191","26717799","6608","2024-09"
"092220","KEC","177675379785","885","200763141","200763141","0","2024-09"
"046440","KG모빌리언스","162696751470","4385","37103022","38825568","1722546","2024-09"
"003620","KG모빌리티","985949355080","5020","196404254","196404254","0","2024-09"
"016380","KG스틸","649867973040","6520","99673002","100008897","335895","2024-09"
"151860","KG에코솔루션","219035052360","5220","41960738","49603002","7642264","2024-09"
"035600","KG이니시스","246221014000","9250","26618488","27904434","1285946","2024-09"
"001390","KG케미칼","272849124400","3985","68469040","68469040","0","2024-09"
"226360","KH 건설","60474013950","2555","23668890","23756732","87842","2024-09"
"111870","KH 미래물산","43747975260","8910","4909986","4930249","20263","2024-09"
"033180","KH 필룩스","125157155370","6630","18877399","18903579","26180","2024-09"
"060720","KH바텍","196573982640","8920","22037442","23677442","1640000","2024-09"
"015590","KIB플러그에너지","91237893285","385","236981541","236981544","3","2024-09"
"001940","KISCO홀딩스","238949345360","18920","12629458","16176380","3546922","2024-09"
"058400","KNN","101176306080","764","132429720","132429720","0","2024-09"
"025000","KPX케미칼","224921953300","47300","4755221","4840000","84779","2024-09"
"092230","KPX홀딩스","219754583100","55900","3931209","4224646","293437","2024-09"
"000040","KR모터스","32224995360","536","60121260","60132868","11608","2024-09"
"044450","KSS해운","202068848750","8950","22577525","23085880","508355","2024-09"
"101000","KS인더스트리","65839818400","2185","30132640","30149619","16979","2024-09"
"030200","KT","10816334100000","44000","245825775","252021685","6195910","2024-09"
"033780","KT&G","11838361039700","107900","109716043","130322497","20606454","2024-09"
"058850","KTcs","107556296715","2835","37938729","42685000","4746271","2024-09"
"058860","KTis","81142422300","2650","30619782","34802000","4182218","2024-09"
"122450","KX","150713410980","3630","41518846","45335964","3817118","2024-09"
"052900","KX하이텍","52660033680","969","54344720","55107517","762797","2024-09"
"376190","LB루셈","112668000000","4580","24600000","24600000","0","2024-09"
"061970","LB세미콘","200533431360","4580","43784592","43784592","0","2024-09"
"309960","LB인베스트먼트","91981772000","4000","22995443","23217239","221796","2024-09"
"093050","LF","417208368720","15070","27684696","29240000","1555304","2024-09"
"003550","LG","11702261109600","77400","151192004","157300993","6108989","2024-09"
"034220","LG디스플레이","5220000000000","10440","500000000","500000000","0","2024-09"
