NO,기업명,기업코드,ESG등급,환경,사회,지배구조,년도,첨부
2116,AJ네트웍스,095570,B+,C,A,B+,2023,pdf 다운로드
2115,AJ네트웍스,095570,B+,C,A,B+,2024,pdf 다운로드
2114,AK홀딩스,006840,A,A,A+,B+,2023,pdf 다운로드
2113,AK홀딩스,006840,A,A,A+,B+,2024,pdf 다운로드
2112,BGF,027410,A,A,A+,B+,2023,pdf 다운로드
2111,BGF,027410,A,A,A+,B+,2024,pdf 다운로드
2110,BGF리테일,282330,A,A,A+,A,2023,pdf 다운로드
2109,BGF리테일,282330,A,A,A+,A,2024,pdf 다운로드
2108,BGF에코머티리얼즈,126600,B,B,B,B,2024,pdf 다운로드
2107,BNK금융지주,138930,A,A,A+,A,2023,pdf 다운로드
2106,BNK금융지주,138930,A,A+,A+,A,2024,pdf 다운로드
2105,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2023,
2104,BNK캐피탈,801190,등급없음,등급없음,등급없음,B,2024,
2103,BYC,001460,D,D,D,D,2023,pdf 다운로드
2102,BYC,001460,D,D,D,C,2024,pdf 다운로드
2101,CJ,001040,A,A,A+,B+,2023,pdf 다운로드
2100,CJ,001040,A,A,A+,A,2024,pdf 다운로드
2099,CJ CGV,079160,A,A,A+,B+,2023,pdf 다운로드
2098,CJ CGV,079160,A,A+,A+,A,2024,pdf 다운로드
2097,CJ ENM,035760,B+,B+,A+,B,2023,pdf 다운로드
2096,CJ ENM,035760,A,B+,A+,B+,2024,pdf 다운로드
2095,CJ 바이오사이언스,311690,C,D,C,B,2023,pdf 다운로드
2094,CJ 바이오사이언스,311690,B+,C,B+,B+,2024,pdf 다운로드
2093,CJ대한통운,000120,A,A,A+,B+,2023,pdf 다운로드
2092,CJ대한통운,000120,A,A,A+,B+,2024,pdf 다운로드
2091,CJ씨푸드,011150,B+,B+,A,B,2023,pdf 다운로드
2090,CJ씨푸드,011150,B+,A,A,B,2024,pdf 다운로드
2089,CJ제일제당,097950,A,A,A+,A,2023,pdf 다운로드
2088,CJ제일제당,097950,A,A,A,B+,2024,pdf 다운로드
2087,CJ프레시웨이,051500,A,B+,A+,A,2023,pdf 다운로드
2086,CJ프레시웨이,051500,A,A,A,B+,2024,pdf 다운로드
2085,CS홀딩스,000590,C,D,D,B,2023,
2084,CS홀딩스,000590,C,D,D,B,2024,pdf 다운로드
2083,DB,012030,C,D,B,C,2023,pdf 다운로드
2082,DB,012030,C,D,B,C,2024,pdf 다운로드
2081,DB금융투자,016610,B,C,B,B+,2023,pdf 다운로드
2080,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2023,
2079,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2024,
2078,DB손해보험,005830,B+,B+,A,B+,2023,pdf 다운로드
2077,DB손해보험,005830,B+,A,A,B+,2024,pdf 다운로드
2076,DB증권,016610,B,C,C,B+,2024,pdf 다운로드
2075,DB하이텍,000990,B+,A,A,B,2023,pdf 다운로드
2074,DB하이텍,000990,C,B+,A,D,2024,pdf 다운로드
2073,DGB금융지주,139130,A,A+,A,A,2023,pdf 다운로드
2072,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2023,
2071,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2024,
2070,DH오토넥스,000300,D,C,D,D,2023,pdf 다운로드
2069,DL,000210,A,A,A,A,2023,
2068,DL,000210,A,A,A+,A,2024,pdf 다운로드
2067,DL건설,001880,A,A,A+,B+,2023,pdf 다운로드
2066,DL이앤씨,375500,A,A,B+,A,2023,pdf 다운로드
2065,DL이앤씨,375500,A,A,A+,A,2024,pdf 다운로드
2064,DN오토모티브,007340,C,C,B,D,2023,pdf 다운로드
2063,DN오토모티브,007340,C,C,C,C,2024,pdf 다운로드
2062,DRB동일,004840,B+,B,A,B+,2023,pdf 다운로드
2061,DRB동일,004840,B+,B+,A,B+,2024,pdf 다운로드
2060,DSR,155660,D,C,C,D,2023,pdf 다운로드
2059,DSR,155660,C,C,C,C,2024,pdf 다운로드
2058,DSR제강,069730,C,C,C,B,2023,pdf 다운로드
2057,DSR제강,069730,C,D,D,B,2024,pdf 다운로드
2056,E1,017940,A,A,A,B+,2023,pdf 다운로드
2055,E1,017940,A,A,A+,B+,2024,pdf 다운로드
2054,F&F,383220,B+,B+,A+,B,2023,pdf 다운로드
2053,F&F,383220,A,A+,A+,B,2024,pdf 다운로드
2052,F&F 홀딩스,007700,A,B+,A+,B+,2023,
2051,F&F 홀딩스,007700,A,A+,A+,A,2024,pdf 다운로드
2050,GKL,114090,B+,B,A,B+,2023,pdf 다운로드
2049,GKL,114090,A,A+,A,A,2024,pdf 다운로드
2048,GS,078930,B,B+,A+,C,2023,pdf 다운로드
2047,GS,078930,B+,B+,A,B+,2024,pdf 다운로드
2046,GS건설,006360,A,A,B+,A,2023,pdf 다운로드
2045,GS건설,006360,A,A,A+,B+,2024,pdf 다운로드
2044,GS글로벌,001250,B+,B+,B+,B+,2023,pdf 다운로드
2043,GS글로벌,001250,B+,B+,A,B+,2024,pdf 다운로드
2042,GS리테일,007070,A,A+,A,A,2023,pdf 다운로드
2041,GS리테일,007070,A+,A+,A+,A,2024,pdf 다운로드
2040,HDC,012630,B+,B+,A,B,2023,
2039,HDC,012630,C,A,A+,D,2024,pdf 다운로드
2038,HDC랩스,039570,D,D,D,C,2023,pdf 다운로드
2037,HDC랩스,039570,B,C,A,B,2024,pdf 다운로드
2036,HDC현대EP,089470,B+,B+,B+,B,2023,pdf 다운로드
2035,HDC현대EP,089470,B+,B+,A,B+,2024,pdf 다운로드
2034,HDC현대산업개발,294870,B+,B+,A,B,2023,pdf 다운로드
2033,HDC현대산업개발,294870,A,A,A+,A,2024,pdf 다운로드
2032,HD한국조선해양,009540,A,A,A+,A,2023,pdf 다운로드
2031,HD한국조선해양,009540,A,A,A+,A,2024,pdf 다운로드
2030,HD현대,267250,A,B+,A+,B+,2023,pdf 다운로드
2029,HD현대,267250,A,B+,A+,A,2024,pdf 다운로드
2028,HD현대건설기계,267270,A+,A+,A+,A,2023,pdf 다운로드
2027,HD현대건설기계,267270,A,A,A+,A,2024,pdf 다운로드
2026,HD현대마린엔진,071970,C,C,C,C,2024,pdf 다운로드
2025,HD현대미포,010620,A,A,A+,B+,2023,pdf 다운로드
2024,HD현대미포,010620,A,A,A+,A,2024,pdf 다운로드
2023,HD현대에너지솔루션,322000,A,A,A,B+,2023,pdf 다운로드
2022,HD현대에너지솔루션,322000,A,B+,A,A,2024,pdf 다운로드
2021,HD현대인프라코어,042670,A,A+,A+,B+,2023,pdf 다운로드
2020,HD현대인프라코어,042670,A+,A+,A+,A,2024,pdf 다운로드
2019,HD현대일렉트릭,267260,A,A,A+,A,2023,pdf 다운로드
2018,HD현대일렉트릭,267260,A+,A+,A+,A,2024,pdf 다운로드
2017,HD현대중공업,329180,A,A,A,B+,2023,pdf 다운로드
2016,HD현대중공업,329180,A,A,A+,B+,2024,pdf 다운로드
2015,HJ중공업,097230,B+,B,B+,B+,2023,pdf 다운로드
2014,HJ중공업,097230,A,A,A+,B+,2024,pdf 다운로드
2013,HK이노엔,195940,A,A,A+,A,2023,pdf 다운로드
2012,HK이노엔,195940,A+,A,A+,A+,2024,pdf 다운로드
2011,HL D&I,014790,A,A,A+,B+,2023,pdf 다운로드
2010,HL D&I,014790,A+,A+,A+,A,2024,pdf 다운로드
2009,HLB,028300,C,B+,B+,D,2023,pdf 다운로드
2008,HLB,028300,B+,B+,B+,B,2024,pdf 다운로드
2007,HLB글로벌,003580,D,D,D,D,2023,pdf 다운로드
2006,HLB글로벌,003580,D,D,D,D,2024,pdf 다운로드
2005,HLB생명과학,067630,B,C,B,B,2023,pdf 다운로드
2004,HLB생명과학,067630,C,D,C,C,2024,pdf 다운로드
2003,HL만도,204320,A,B+,A+,A,2023,pdf 다운로드
2002,HL만도,204320,A,A,A+,A,2024,pdf 다운로드
2001,HL홀딩스,060980,A,A,A+,A,2023,pdf 다운로드
2000,HL홀딩스,060980,A,A,A+,A,2024,pdf 다운로드
1999,HMM,011200,A,A+,A+,B+,2023,pdf 다운로드
1998,HMM,011200,A,A,A+,A,2024,pdf 다운로드
1997,HPSP,403870,C,C,D,C,2024,pdf 다운로드
1996,HS애드,035000,B,D,C,B+,2023,pdf 다운로드
1995,HS애드,035000,B,C,D,A,2024,pdf 다운로드
1994,HS화성,002460,C,C,C,B+,2024,pdf 다운로드
1993,HS효성첨단소재,298050,A,A,A+,B+,2024,pdf 다운로드
1992,INVENI,015360,B,C,B,B+,2024,pdf 다운로드
1991,ISC,095340,D,C,C,D,2023,pdf 다운로드
1990,ISC,095340,B,C,B+,B,2024,pdf 다운로드
1989,JB금융지주,175330,A,A+,A,A,2023,pdf 다운로드
1988,JB금융지주,175330,A,A+,A,A,2024,pdf 다운로드
1987,JW생명과학,234080,B+,B+,A,B,2023,pdf 다운로드
1986,JW생명과학,234080,B+,B+,A,B,2024,pdf 다운로드
1985,JW중외제약,001060,B+,B,A,B+,2023,pdf 다운로드
1984,JW중외제약,001060,B+,B+,A,B+,2024,pdf 다운로드
1983,JW홀딩스,096760,B+,B,A,B+,2023,pdf 다운로드
1982,JW홀딩스,096760,B+,B+,A,B+,2024,pdf 다운로드
1981,JYP Ent.,035900,B+,A,A+,B,2023,pdf 다운로드
1980,JYP Ent.,035900,B,A,A+,C,2024,pdf 다운로드
1979,KB금융,105560,A+,A+,A+,A+,2023,pdf 다운로드
1978,KB금융,105560,A,A+,A+,A,2024,pdf 다운로드
1977,KB라이프생명보험,839185,등급없음,등급없음,등급없음,A,2024,
1976,KB손해보험,002550,등급없음,등급없음,등급없음,A,2023,
1975,KB손해보험,002550,등급없음,등급없음,등급없음,A,2024,
1974,KCC건설,021320,D,D,D,D,2023,pdf 다운로드
1973,KCC건설,021320,C,C,D,B,2024,pdf 다운로드
1972,KCI,036670,B+,A,A,B,2023,pdf 다운로드
1971,KCI,036670,A,A,A,B+,2024,pdf 다운로드
1970,KC그린홀딩스,009440,C,C,D,C,2023,
1969,KC그린홀딩스,009440,B,B,B,B,2024,pdf 다운로드
1968,KC코트렐,119650,C,C,D,C,2023,pdf 다운로드
1967,KC코트렐,119650,C,B,B,C,2024,pdf 다운로드
1966,KEC,092220,D,C,C,D,2023,pdf 다운로드
1965,KEC,092220,C,C,D,C,2024,pdf 다운로드
1964,KG모빌리언스,046440,D,D,D,D,2023,pdf 다운로드
1963,KG모빌리언스,046440,C,C,A,C,2024,pdf 다운로드
1962,KG모빌리티,003620,D,C,C,D,2023,pdf 다운로드
1961,KG모빌리티,003620,C,C,D,C,2024,pdf 다운로드
1960,KG스틸,016380,B,B+,A,C,2023,pdf 다운로드
1959,KG스틸,016380,B,B+,A,C,2024,pdf 다운로드
1958,KG에코솔루션,151860,D,C,D,D,2024,pdf 다운로드
1957,KG이니시스,035600,C,D,B,D,2023,pdf 다운로드
1956,KG이니시스,035600,C,C,B+,D,2024,pdf 다운로드
1955,KG케미칼,001390,C,C,D,C,2023,pdf 다운로드
1954,KG케미칼,001390,C,B+,B,C,2024,pdf 다운로드
1953,KH 필룩스,033180,D,C,C,D,2023,pdf 다운로드
1952,KH 필룩스,033180,D,C,D,D,2024,pdf 다운로드
1951,KH바텍,060720,A,A,A+,A,2023,pdf 다운로드
1950,KH바텍,060720,A,A,A+,A,2024,pdf 다운로드
1949,KIB플러그에너지,015590,D,D,D,D,2023,pdf 다운로드
1948,KIB플러그에너지,015590,D,C,D,D,2024,pdf 다운로드
1947,KISCO홀딩스,001940,D,C,D,D,2023,
1946,KISCO홀딩스,001940,D,C,D,D,2024,pdf 다운로드
1945,KPX케미칼,025000,C,C,C,C,2023,pdf 다운로드
1944,KPX케미칼,025000,D,C,D,D,2024,pdf 다운로드
1943,KPX홀딩스,092230,C,C,C,C,2023,
1942,KPX홀딩스,092230,D,C,D,D,2024,pdf 다운로드
1941,KR모터스,000040,D,D,D,D,2023,pdf 다운로드
1940,KR모터스,000040,D,D,D,D,2024,pdf 다운로드
1939,KSS해운,044450,B+,B+,A,B+,2023,pdf 다운로드
1938,KSS해운,044450,B+,B+,A,B+,2024,pdf 다운로드
1937,KTcs,058850,A,A,A,A,2023,pdf 다운로드
1936,KTcs,058850,A,A,A+,A,2024,pdf 다운로드
1935,KTis,058860,B+,B+,A,B+,2023,pdf 다운로드
1934,KTis,058860,B+,A,B+,B+,2024,pdf 다운로드
1933,KT지니뮤직,043610,C,D,C,C,2024,pdf 다운로드
1932,LB세미콘,061970,B,A,A,D,2023,pdf 다운로드
1931,LB세미콘,061970,C,B+,A,D,2024,pdf 다운로드
1930,LF,093050,B+,B,B,B+,2023,pdf 다운로드
1929,LF,093050,B+,B+,B+,B+,2024,pdf 다운로드
1928,LG,003550,A,A,A+,A,2023,
1927,LG,003550,A,A,A+,B+,2024,pdf 다운로드
1926,LG디스플레이,034220,B+,A,A+,B,2023,pdf 다운로드
1925,LG디스플레이,034220,B+,B+,A,B+,2024,pdf 다운로드
1924,LG생활건강,051900,A,A,A+,A,2023,pdf 다운로드
1923,LG생활건강,051900,A,B+,A+,A,2024,pdf 다운로드
1922,LG에너지솔루션,373220,A,A,A+,B+,2024,pdf 다운로드
1921,LG유플러스,032640,A,A,A,A,2023,pdf 다운로드
1920,LG유플러스,032640,A,A,A+,A,2024,pdf 다운로드
1919,LG이노텍,011070,A,A,A+,A,2023,pdf 다운로드
1918,LG이노텍,011070,A,A,A+,A,2024,pdf 다운로드
1917,LG전자,066570,A,A+,A,A,2023,pdf 다운로드
1916,LG전자,066570,A,A,A+,B+,2024,pdf 다운로드
1915,LG헬로비전,037560,A,B+,A+,A,2023,pdf 다운로드
1914,LG헬로비전,037560,A,A,A+,A,2024,pdf 다운로드
1913,LG화학,051910,A,B+,A+,A,2023,pdf 다운로드
1912,LG화학,051910,B+,B+,A,B+,2024,pdf 다운로드
1911,LIG넥스원,079550,A,A,A+,A,2023,pdf 다운로드
1910,LIG넥스원,079550,A,A,A+,A,2024,pdf 다운로드
1909,LS,006260,A,A,A,A,2023,pdf 다운로드
1908,LS,006260,A,A,A,A,2024,pdf 다운로드
1907,LS네트웍스,000680,B+,B,A,B+,2023,pdf 다운로드
1906,LS네트웍스,000680,B+,B,A,B+,2024,pdf 다운로드
1905,LS마린솔루션,060370,C,C,C,B+,2023,pdf 다운로드
1904,LS마린솔루션,060370,C,C,C,B,2024,pdf 다운로드
1903,LS에코에너지,229640,C,D,C,B,2023,pdf 다운로드
1902,LS에코에너지,229640,C,D,C,B,2024,pdf 다운로드
1901,LS증권,078020,C,D,D,B,2024,pdf 다운로드
1900,LX세미콘,108320,B+,A,A,B+,2023,pdf 다운로드
1899,LX세미콘,108320,B+,B+,A,B+,2024,pdf 다운로드
1898,LX인터내셔널,001120,B+,B+,A+,B,2023,pdf 다운로드
1897,LX인터내셔널,001120,A,B+,A+,B+,2024,pdf 다운로드
1896,LX하우시스,108670,A,A,A,B+,2023,pdf 다운로드
1895,LX하우시스,108670,A,A,A,B+,2024,pdf 다운로드
