종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4855","45","0.94","219702144945"
"006840","AK홀딩스","KOSPI","기타금융","12230","-610","-4.75","162017671030"
"027410","BGF","KOSPI","기타금융","3570","-25","-0.70","341708943870"
"282330","BGF리테일","KOSPI","유통","110800","-5500","-4.73","1915056784800"
"138930","BNK금융지주","KOSPI","기타금융","9910","370","3.88","3175527964570"
"001460","BYC","KOSPI","섬유·의류","32500","-250","-0.76","202999875000"
"001465","BYC우","KOSPI","섬유·의류","13030","-10","-0.08","28064665500"
"001040","CJ","KOSPI","기타금융","103300","-300","-0.29","3013983893400"
"079160","CJ CGV","KOSPI","일반서비스","5470","-170","-3.01","905722616410"
"00104K","CJ4우(전환)","KOSPI","기타금융","78700","-1300","-1.63","332626494400"
"000120","CJ대한통운","KOSPI","운송·창고","88700","-1800","-1.99","2023454912800"
"011150","CJ씨푸드","KOSPI","음식료·담배","3080","-10","-0.32","110666780840"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","17900","-230","-1.27","3580000000"
"001045","CJ우","KOSPI","기타금융","57300","0","0.00","129510777900"
"097950","CJ제일제당","KOSPI","음식료·담배","269500","-4500","-1.64","4057103127000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","132600","-1300","-0.97","176017615800"
"000480","CR홀딩스","KOSPI","비금속","5670","10","0.18","265869078300"
"000590","CS홀딩스","KOSPI","기타금융","69400","100","0.14","80121050800"
"012030","DB","KOSPI","일반서비스","1554","-55","-3.42","312624291882"
"016610","DB금융투자","KOSPI","증권","5350","0","0.00","227088181150"
"005830","DB손해보험","KOSPI","보험","113600","3600","3.27","8042880000000"
"000990","DB하이텍","KOSPI","전기·전자","35600","-450","-1.25","1580589732800"
"139130","DGB금융지주","KOSPI","기타금융","8220","50","0.61","1390378747260"
"001530","DI동일","KOSPI","유통","37700","100","0.27","950630834400"
"000210","DL","KOSPI","화학","39550","-1150","-2.83","828805212200"
"000215","DL우","KOSPI","화학","23850","-50","-0.21","40213842750"
"375500","DL이앤씨","KOSPI","건설","30150","-400","-1.31","1166612733450"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","20850","-200","-0.95","44034178350"
"37550K","DL이앤씨우","KOSPI","건설","15470","-130","-0.83","32701800950"
"007340","DN오토모티브","KOSPI","전기·전자","17590","-20","-0.11","1038968565350"
"004840","DRB동일","KOSPI","화학","4540","35","0.78","90482200000"
"155660","DSR","KOSPI","금속","3765","-40","-1.05","60240000000"
"069730","DSR제강","KOSPI","금속","3575","50","1.42","51480000000"
"017860","DS단석","KOSPI","화학","66000","-600","-0.90","386852664000"
"017940","E1","KOSPI","유통","75300","-200","-0.26","516558000000"
"365550","ESR켄달스퀘어리츠","KOSPI","일반서비스","4940","-30","-0.60","1052659660000"
"383220","F&F","KOSPI","섬유·의류","57200","-3300","-5.45","2191164690000"
"007700","F&F홀딩스","KOSPI","기타금융","13100","10","0.08","512398207700"
"114090","GKL","KOSPI","일반서비스","10650","-160","-1.48","658762885500"
"078930","GS","KOSPI","기타금융","42050","0","0.00","3907091644900"
"006360","GS건설","KOSPI","건설","18100","-200","-1.09","1549024969000"
"001250","GS글로벌","KOSPI","유통","3395","75","2.26","280202128780"
"007070","GS리테일","KOSPI","유통","20300","-800","-3.79","2125773816600"
