종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","107788594620","2110","51084642","51084642","0","2024-09"
"095570","AJ네트웍스","219280145000","4900","44751050","45252759","501709","2024-09"
"006840","AK홀딩스","160198678600","12280","13045495","13247561","202066","2024-09"
"054620","APS","115012580520","6330","18169444","19894221","1724777","2024-09"
"265520","AP시스템","263753553040","17560","15020134","15281421","261287","2024-09"
"211270","AP위성","145889900250","10250","14233161","15082304","849143","2024-09"
"109960","AP헬스케어","61167204584","536","114117919","114153169","35250","2024-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2024-09"
"027410","BGF","337373400150","3525","95708766","95716791","8025","2024-09"
"282330","BGF리테일","1934801680000","112000","17275015","17283906","8891","2024-09"
"126600","BGF에코머티리얼즈","208684554000","3370","61924200","62766899","842699","2024-09"
"138930","BNK금융지주","3113790815820","9780","318383519","320436727","2053208","2024-09"
"001460","BYC","201026854000","32200","6243070","6246150","3080","2024-09"
"013720","CBI","48850499904","1096","44571624","44628136","56512","2024-09"
"083790","CG인바이츠","196464635010","2555","76894182","76894182","0","2024-09"
"001040","CJ","2822196856500","104300","27058455","29176998","2118543","2024-09"
"079160","CJ CGV","909034216470","5490","165580003","165580003","0","2024-09"
"035760","CJ ENM","1285236378000","62000","20729619","21929154","1199535","2024-09"
"311690","CJ 바이오사이언스","100602022080","11040","9112502","9112502","0","2024-09"
"000120","CJ대한통운","1779105506800","89200","19945129","22812344","2867215","2024-09"
"011150","CJ씨푸드","113720896545","3165","35930773","35930773","0","2024-09"
"097950","CJ제일제당","4026944846000","274000","14696879","15054186","357307","2024-09"
"051500","CJ프레시웨이","214638274880","18080","11871586","11871586","0","2024-09"
"058820","CMG제약","290979251180","2095","138892244","138892244","0","2024-09"
"023460","CNH","6789438434","206","32958439","37200000","4241561","2024-09"
"056730","CNT85","55701358400","800","69626698","74111186","4484488","2024-09"
"000480","CR홀딩스","233512084320","5660","41256552","46890490","5633938","2024-09"
"065770","CS","18731740450","965","19411130","19411130","0","2024-09"
"083660","CSA 코스믹","49526724984","836","59242494","61247181","2004687","2024-09"
"000590","CS홀딩스","71427280400","68600","1041214","1154482","113268","2024-09"
"012030","DB","295142173485","1545","191030533","201173933","10143400","2024-09"
